Kana,Kanji,Type,Definition/s
あっ,,int,"Ah!,Oh!"
ああ,,int,"like that,that way"
あい,愛,"n,n-suf,vs",love
あいかわらず,,"adv,n","as ever,as usual,the same"
あいさつ,挨拶,"n,vs","greeting,salutation"
あいじょう,愛情,n,"love,affection"
あいず,合図,"n,vs","sign,signal"
アイスクリーム,,n,ice cream
あいする,愛する,vs-s,to love
あいだ,間,n,"space,room,time"
あいて,相手,n,"companion,partner"
アイデア/アイディア,,n,idea
あいにく,,"adj-na,adv,n","unfortunately,Sorry, but...."
あいまい,,"adj-na,n","vague,ambiguous"
アイロン,,n,(electric) iron
あう,合う,u-v,"to fit,to suit"
あう,会う,u-v,"to meet,to interview"
あう,遇う,u-v,"to meet,to encounter"
アウト,,n,out
あお,青,n,"blue,green,green light"
あおい,青い,adj,"blue,pale,inexperienced"
あおぐ,扇ぐ,v5g,"to fan,to flap"
あおじろい,青白い,adj,"pale,pallid"
あか,赤,n,the colour red
あかい,赤い,adj,red
あかちゃん,,n,"baby,infant"
あかり,明かり,n,"lamplight,light (in general),brightness"
あがる,上る,v5r,"to rise,to ascend,to go up,to climb"
あかるい,明い,,"bright,cheerful"
あかんぼう,,n,baby
あき,明き,n,"room,time to spare,emptiness"
あき,空き,n,"room,time to spare,emptiness"
あき,秋,n-adv,"autumn,fall"
あきらか,明らか,"adj-na,n","obvious,evident,clear"
あきらめる,諦める,u-v,"to give up,to abandon"
あきる,飽きる,u-v,"to get tired of,to lose interest in"
あきれる,,u-v,"to be amazed,to be shocked"
あく,開く,v5k,to open (eg a festival)
あく,空く,"v5k,vi","to open,to become open,to become empty"
あくしゅ,握手,"n,vs",handshake
アクセサリー,,n,accessory
アクセント,,n,accent
あくび,,n,yawn
あくま,悪魔,n,"devil,demon,evil spirit"
あくまで,飽くまで,adv,"to the end,to the last,stubbornly"
あくる~,明くる~,,"next,following"
あけがた,明け方,"n-adv,n-t",dawn
あける,開ける,v1,to become opened up
あける,明ける,v1,"to dawn,to become daylight"
あげる,上げる,v1,"to give,to raise"
あげる,揚げる,v1,"to lift,to fry"
あげる,挙げる,v1,"to raise,to fly"
あげる (=やる),,v1,to do for
あこがれる,憧れる,v1,"to long for,to yearn after,to admire"
あさ,朝,"n-adv,n-t",morning
あさい,浅い,adj,"shallow,superficial"
あさって,,"n-adv,n-t",day after tomorrow
あし,足,n,"foot,leg"
あじ,味,"adj-na,n","flavor,taste"
アジア,,n,Asia
あしあと,足跡,n,footprints
あした,,n-t,tomorrow
あしもと,足元,n,"at one's feet,underfoot"
あじわう,味わう,v5u,"to taste,to savor,to relish"
あす,明日,n-t,tomorrow
あずかる,預かる,"v5r,vt","to keep in custody,to receive on deposit,to take charge of"
あずける,預ける,"v1,vt","to give into custody,to entrust,to deposit"
あせ,汗,n,"sweat,perspiration"
あそこ,,n,"there,over there"
あそび,遊び,"n,n-suf",play
あそぶ,遊ぶ,u-v,"to play,to make a visit"
あたえる,与える,v1,"to give,to present,to award"
あたたか(い),暖かい,adj,"warm,mild"
あたたまる,暖まる,v5r,"to warm up,to get warm"
あたためる,暖める,v1,"to warm,to heat"
あたま,頭,,head
あたらしい,新しい,adj,new
あたり,辺り,n,"vicinity,nearby"
あたりまえ,,"adj-na,adj-no,n","usual,common,ordinary"
あたる,当たる,v5r,"to be hit,to be successful,to be equivalent to"
あちこち,,"adv,n",here and there
あひら,あひら,,
あっち,,n,(col) over there
あちらこちら,,"adv,n",here and there
あつい,厚い,adj,"cordial,kind,warm(hearted),thick,deep"
あつい,暑い,adj,"hot,warm"
あつい,熱い,adj,hot (thing)
あつかう,扱う,v5u,"to handle,to deal with,to treat"
あつかましい,厚かましい,adj,"impudent,shameless,brazen"
あっしゅく,圧縮,"n,vs","compression,condensation,pressure"
あつまり,集まり,n,"gathering,meeting,assembly,collection"
あつまる,集る,v5r,"(1) to gather,to crowd round,to swarm,to flock,(2) to extort from,to sponge off"
あつめる,集める,"v1,vt","to collect,to assemble"
あてな,宛名,n,"address,direction"
あてはまる,,"v5r,vi","to be applicable,to come under (a category),to fulfill"
あてはめる,,"v1,vt","to apply,to adapt"
あてる,当てる,v1,"to hit,to apply a patch"
あと,後,"adj-no,n","afterwards,since then,in the future"
あと,跡,n,"(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar"
あと,,n,"(1) trace,tracks,(2) remains,ruins,(3) scar"
あな,穴,n,hole
アナウンサー,,n,announcer
あなた,,n,"(1) the other,the other side,(2) there,yonder,that"
あに,兄,n,(hum) older brother
あね,姉,n,(hum) older sister
あの,,adj-pn,that over there
アパート,,"n,adv","(1) apartment (abbr),(2) apartment building (abbr),(3) apart"
あばれる,暴れる,v1,"to act violently,to rage,to struggle,to be riotous"
あびる,浴びる,v1,"to bathe,to bask in the sun,to shower"
あぶない,危ない,adj,"dangerous,critical,watch out!"
あぶら,油,n,oil
あぶら,脂,n,"fat,tallow,lard"
アフリカ,,n,Africa
あぶる,,v5r,to scorch
あふれる,,v1,"to flood,to overflow,to brim over"
あまい,甘い,adj,"delicious,sweet,naive"
あまど,雨戸,n,sliding storm door
あまやかす,甘やかす,v5s,"to pamper,to spoil"
あまり,余り,"adj-na,adv,n,n-suf","not very (used as adverb),not much"
あまり,余り,"adj-na,adv,n,n-suf","not very (only used as adverb),not much,remainder,rest"
あまる,余る,v5r,"to remain,to be left over,to be in excess,to be too many"
あみもの,編物,n,"knitting,web"
あむ,編む,v5m,to knit
あめ,雨,n,rain
あめ,飴,n,(hard) candy
アメリカ,,n,America
あやうい,危うい,adj,"dangerous,critical,grave"
あやしい,怪しい,adj,"suspicious,dubious,doubtful"
あやまり,誤り,n,error
あやまる,謝る,v5r,to apologize
あら,粗,n,"defect,flaw,blemish,weak point"
あらい,荒い,adj,"rough,rude,wild"
あらい,粗い,adj,"coarse,rough"
あらう,洗う,v5u,to wash
あらし,嵐,n,"storm,tempest"
あらすじ,,n,"outline,summary"
あらそう,争う,v5u,"to dispute,to argue,to be at variance,to compete"
あらた,新た,"adj-na,n","new,fresh,novel"
あらためて,改めて,adv,"another time,again,over again,anew,formally"
あらためる,改める,v1,"to change,to alter,to reform,to revise"
あらゆる,,adj-pn,"all,every"
あらわす,表す,v5s,"to express,to show,to reveal"
あらわす,現す,v5s,"to show,to indicate,to display"
あらわす,著す,v5s,"to write,to publish"
あらわれ,現れ,n,"embodiment,materialization"
あらわれる,現れる,v1,"(1) to appear,to come in sight,to become visible,(2) to express oneself"
ありがたい,有難い,adj,"grateful,thankful,welcome,appreciated,evoking gratitude"
ありがとう,,io,"(conj,exp,int) Thank you"
ある,有る,v5r-i,"to be,to have"
ある,在る,v5r-i,"to live,to be"
ある,或,adj-pn,"a certain...,some..."
あるいは,,"adv,conj,exp","or,possibly"
あるく,歩く,v5k,to walk
アルバイト,,n,part-time job
アルバム,,n,album
あれ,,n,"that,over there"
あれこれ,,"adv,n","one thing or another,this and that,this or that"
あれる,荒れる,v1,"to be stormy,to be rough,to lose one's temper"
あわ,泡,n,"bubble,foam,froth,head on beer"
あわせる,合わせる,v1,"to join together,to be opposite,to face,to unite"
あわただしい,,adj,"busy,hurried,confused,flurried"
あわてる,,v1,to become confused
あわれ,哀れ,"adj-na,int,n","helpless,pity,sorrow,grief"
あん,案,"n,n-suf","plan,suffix meaning draft"
あんい,安易,"adj-na,n",easy-going
あんがい,案外,"adj-na,n-adv",unexpectedly
あんき,暗記,"n,vs","memorization,learning by heart"
あんしん,安心,n,"peace of mind,relief"
あんぜん,安全,"adj-na,n","safety,security"
あんてい,安定,"adj-na,n,vs","stability,equilibrium"
アンテナ,,n,antenna
あんな,,"adj-na,adj-pn","such,so,that,sort of"
あんない,案内,"n,vs","information,guidance,leading"
あんなに,,exp,"to that extent,to that degree"
あんまり,,"adj-na,adv,n,n-suf","not very,not much,remainder,rest"
い,胃,n,stomach
~い,~位,,place/rank
いい,,adj,good
よい,,adj,"good,nice,pleasant,ok"
いいえ,,"int,n","no,not at all"
いえ,いえ,"int,n",TODO same as いいえ?
いいだす,言い出す,v5s,"to start talking,to speak,to tell,to propose,to suggest,to break the ice"
いいつける,言い付ける,v1,"to tell,to tell on (someone),to order"
いいん,委員,n,committee member
いう,言う,v5u,to say
ゆう,言う,v5u,to say
いえ,家,suf,"house,family"
いか,以下,n,"less than,up to,below,under"
いがい,以外,n-adv,"with the exception of,excepting"
いがい,意外,"adj-na,n","unexpected,surprising"
いかが,,"adj-na,adv,n","how,in what way"
いがく,医学,n,"medical science,medicine"
いき,行き,n,going
ゆき,行き,n,going
いき,息,n,"breath,tone"
いぎ,意義,n,"meaning,significance"
いきいき,生き生き,"adv,n","vividly,lively"
いきおい,勢い,"adv,n","force,vigor,energy,spirit"
いきなり,,adv,"(uk) abruptly,suddenly,all of a sudden,without warning"
いきもの,生き物,n,"living thing,animal"
いきる,生きる,v1,"to live,to exist"
いく~,幾~,,
いく,行く,v5k-s,to go
ゆく,行く,v5k-s,to go
いくじ,育児,n,"childcare,nursing,upbringing"
いくつ,幾つ,n,"how many?,how old?"
いくぶん,幾分,"adv,n",somewhat
いくら,幾ら,"adv,n","how much?,how many?"
いくら~ても,,,
いけ,池,n,pond
いけない,,"adj,exp","must not do,bad,wrong,not good"
いけばな,生け花,n,(1) flower arrangement
いけん,意見,n,"opinion,view"
いご,以後,"n-adv,n-t","after this,from now on,hereafter,thereafter"
いこう,以降,"n-adv,n-t","on and after,hereafter,thereafter"
イコール,,"adj-na,n",equal
いさましい,勇ましい,adj,"brave,valiant,gallant,courageous"
いし,石,n,"volume measure (approx. 180l, 5 bushels, 10 cub.ft)"
いし,医師,n,"doctor,physician"
いし,意思,n,"intention,purpose"
いし,意志,n,"will,volition"
いじ,維持,"n,vs","maintenance,preservation"
いしき,意識,"n,vs","consciousness,senses"
いじめる,,v1,"to tease,to torment"
いしゃ,医者,n,doctor (medical)
いじょう,以上,"n-adv,n-t","more than,exceeding,greater than"
いじょう,異常,"adj-na,n","strangeness,abnormality,disorder"
いしょくじゅう,衣食住,n,"necessities of life (food, clothing, etc.)"
いじわる,意地悪,"adj-na,n","malicious,ill-tempered,unkind"
いす,椅子,n,chair
いずみ,泉,n,"spring,fountain"
いずれ,,"adv,n","where,which,who"
いぜん,以前,"n-adv,n-t","ago,since,before,previous"
いそがしい,忙しい,adj,"busy,irritated"
いそぐ,急ぐ,v5g,"to hurry,to rush"
いた,板,n,"board,plank"
いたい,痛い,adj,painful
いだい,偉大,"adj-na,n",greatness
いだく,抱く,v5k,"(sl) to embrace,to hug,to harbour,to entertain"
いたす,致す,v5s,(hum) to do
いたずら,,"adj-na,n,vs","tease,prank,trick,practical joke"
いただきます,,exp,expression of gratitude before meals
いただく,頂く,v5k,"to receive,to take food or drink (hum)"
いたみ,痛み,n,"pain,ache,sore,grief,distress"
いたる,至る,v5r,"to come,to arrive"
いち,,n,"market,fair"
（日本一）,~いち,,
いち,位置,"n,vs","place,situation,position,location"
いちいち,,"adv,n","one by one,separately"
いちおう,一応,adv,"once,tentatively,in outline,for the time being"
いちじ,一時,"n-adv,n","moment,time"
いちだんと,一段と,adv,"greater,more,further,still more"
いちど,一度,n-adv,"once,one time,on one occasion"
いちどに,一度に,adv,all at once
いちば,市場,n,(the) market (as a concept)
いちばん,一番,n-adv,"best,first,number one"
いちりゅう,一流,n,"first class,top grade,foremost,top-notch"
いつ,佚,n,"be lost,peace,hide,mistake,beautiful,in turn"
いつか,五日,n,"five days,the fifth day (of the month)"
いつか,,adv,"sometime,someday,one day"
いっか,一家,n,"a house,a home,a family,a household"
いっさくじつ,一昨日,"n-adv,n-t",day before yesterday
いっさくねん,一昨年,"n-adv,n-t",year before last
いっしゅ,一種,"adv,n","a species,a kind,a variety"
いっしゅん,一瞬,"n-adv,n-t","a moment,an instant"
いっしょ,一緒,"adv,n","together,meeting,company"
いっしょう,一生,"n-adv,n-t","whole life,a lifetime,all through life"
いっしょうけんめい,一生懸命,"adj-na,n-adv,n","very hard,with utmost effort,with all one's might"
いっせい,一斉,"n-adv,n","simultaneous,all at once"
いっそう,一層,"n-adv,n","much more,still more,all the more"
いったい,一体,"adv,n","(1) one object,one body,(2) what on earth?,really?,(3) generally"
いったん,一旦,adv,"once,for a moment,one morning,temporarily"
いっち,一致,"n,vs","(1) coincidence,agreement,(2) conformity"
いつつ,五つ,n,five
いってい,一定,"adj-no,n,vs","fixed,settled,definite"
いっていらっしゃい,,,
いってらっしゃい,,,
いってまいります,,,
いってきます,,,"Lit. I'll go and come back,""I'm going, see you later"""
いつでも,,adv,"(at) any time,always,at all times,never (neg)"
いつのまにか,,adv,"before one knows,unnoticed,unawares"
いっぱい,,"adj-na,adv,n","(1) a cup of,a drink,(2) full"
いっぱん,一般,"adj-no,n","general,liberal,universal,ordinary,average"
いっぽう,一方,"conj,n-adv,n","(1) on the other hand,(2) meanwhile,(3) only,simple,in turn"
いつまでも,,adv,"forever,for good,eternally,as long as one likes,indefinitely"
いつも,いつも,"adv,n","always,usually,every time,never (with neg. verb)"
いてん,移転,"n,vs","moving,transfer,demise"
いと,糸,"n,n-suf","thread,yarn,string"
いど,井戸,n,water well
いど,緯度,n,latitude (nav.)
いどう,移動,"n,vs","removal,migration,movement"
いとこ,従兄弟,n,cousin (male)
いとこ,従姉妹,n,cousin (female)
いない,以内,"n,n-suf","within,inside of,less than"
いなか,田舎,gikun,"(n) rural,not particularly urban,countryside,suburb"
いぬ,犬,n,dog
いね,稲,n,rice-plant
いねむり,居眠り,"n,vs","dozing,nodding off"
いのち,命,n,"command,decree,life,destiny"
いのる,祈る,"v5r,vi","to pray,to wish"
いばる,威張る,v5r,"to be proud,to swagger"
いはん,違反,n,"violation (of law),transgression,infringement,breach"
いふく,衣服,n,clothes
いま,今,,"this,now"
いま,居間,n,living room (western style)
いまに,今に,adv,"before long,even now"
いまにも,今にも,adv,"at any time,soon"
いみ,意味,"n,vs","meaning,significance"
イメージ,,n,one's image
いもうと,妹,n,(hum) younger sister
いや,嫌,"adj-na,n","disagreeable,detestable,unpleasant,reluctant"
いや,否,n,"no,the noes"
いやがる,嫌がる,v5r,"to hate,to dislike"
いよいよ,,adv,"more and more,all the more,increasingly,at last,beyond doubt"
いらい,以来,"n-adv,n-t","since,henceforth"
いらい,依頼,"n,vs","(1) request,commission,dispatch,(2) dependence,trust"
いらいら,,"oK(adv,n,vs) (uk)","getting nervous,irritation"
いらっしゃい,,"int,n",welcome
いらっしゃる,,v5aru,"(hon) to be,to come,to go"
いりぐち,入口,n,"entrance,gate,approach,mouth"
いりょう,医療,n,"medical care,medical treatment"
いる,居る,v5r,"to be (animate),to be,to exist"
いる,要る,v5r,to need
いる,煎る,v5r,"to parch,to fry"
いる,炒る,,
いれもの,入れ物,n,"container,case,receptacle"
いれる,入れる,v1,"to put in,to take in"
いろ,色,n,"(1) colour,(2) sensuality,lust"
いわ,岩,n,"rock,crag"
いわい,祝い,n,"celebration,festival"
いわう,祝う,v5u,"to congratulate,to celebrate"
いわば,言わば,adv,so to speak
いわゆる,,"adj-pn,adv","the so-called,so to speak"
~いん,~員,,
インク,,n,ink
インキ,,n,ink
いんさつ,印刷,"n,vs",printing
いんしょう,印象,n,impression
いんたい,引退,"n,vs",retire
インタビュー,,n,interview
いんよう,引用,n,"quotation,citation"
いんりょく,引力,n,gravity
ウイスキー,,n,whisky
ウーマン,,n,woman
ウール,,n,wool
うえ,上,"n,pref,suf","top,best,high class,going up"
うわ,上,"n,pref,suf","upper,outer,surface"
ウエートレス,,n,waitress
うえき,植木,n,"garden shrubs,trees,potted plant"
うえる,植える,v1,"to plant,to grow"
うえる,飢える,v1,to starve
うお,魚,n,fish
うがい,,"n,vs","gargle,rinse mouth"
うかがう,伺う,"v5u,vi,vt","(hon) to visit,to ask,to inquire"
うかぶ,浮ぶ,v5b,"to float,to rise to surface,to come to mind"
うかべる,浮かべる,v1,"to float,to express,to look (sad, glad)"
うく,浮く,v5k,"to float,to become merry,to become loose"
うけたまわる,承る,v5r,"(hum) to hear,to be told,to know"
うけつけ,受付,n,"receipt,acceptance,reception (desk),information desk"
うけとり,受取,n,receipt
うけとる,受け取る,v5r,"to receive,to get,to accept,to take"
うけもつ,受け持つ,v5t,to take (be in) charge of
うける,受ける,v1,"to undertake,to accept"
うごかす,動かす,"v5s,vt","to move,to shift"
うごく,動く,"v5k,vi","to move,to work,to be touched,to change"
うさぎ,兎,n,"rabbit,hare,cony"
うし,牛,n,"cattle,cow"
うしなう,失う,v5u,"to lose,to part with"
うしろ,後,"adj-no,n","afterwards,since then,in the future"
うすい,薄い,adj,"thin,weak,watery,diluted"
うすぐらい,薄暗い,adj,"dim,gloomy"
